Seed,Val Loss,Test MAE,Test RMSE,Test IC,Test RIC,Best Epoch,Training Time (min),Converged
14,112.24962615966797,0.026990847662091255,0.028419576585292816,0.9471771121025085,0.9438591003417969,200,9.85030383268992,True
5,113.36657969156902,0.024063417688012123,0.025159651413559914,0.88312828540802,0.8598501086235046,574,18.45768157641093,True
10,114.39891306559245,0.012453933246433735,0.015285540372133255,0.9416109919548035,0.9433030486106873,80,6.917227840423584,True
13,116.87994384765625,0.03373020142316818,0.03516557067632675,0.7338555455207825,0.7362945079803467,301,12.503471151987712,True
8,119.47361755371094,0.03495029732584953,0.036539457738399506,0.903044581413269,0.9336885809898376,329,12.741186916828156,True
20,121.94590250651042,0.010402335785329342,0.012452182359993458,0.7388831973075867,0.8313621878623962,410,14.774524533748627,True
15,122.67885080973308,0.052597589790821075,0.05318330600857735,0.945016622543335,0.9321137070655823,98,7.330397172768911,True
19,125.03397623697917,0.017381781712174416,0.018390832468867302,0.9545664191246033,0.9628175497055054,109,7.495815046628317,True
11,125.30655924479167,0.02280643954873085,0.023973951116204262,0.9643126130104065,0.9675359725952148,100,11.059394232432048,True
17,127.99175516764323,0.04436163976788521,0.047895368188619614,-0.9201227426528931,-0.9239694476127625,403,14.72307136853536,True
12,128.39789835611978,0.04349953308701515,0.04503699764609337,0.9345490336418152,0.9294794797897339,74,10.300032142798106,True
4,128.57060750325522,0.01377036515623331,0.015187283046543598,0.9585914611816406,0.9583254456520081,110,7.407077348232269,True
16,128.98149871826172,0.007054798770695925,0.008417518809437752,0.9571488499641418,0.9589347839355469,146,8.469596123695373,True
7,130.57769266764322,0.055951450020074844,0.05657501891255379,0.9412106871604919,0.9426295161247253,75,7.448737319310506,True
2,133.93127950032553,0.0189339742064476,0.02040897309780121,0.940455436706543,0.9274810552597046,188,9.2166197180748,True
3,135.68252817789713,0.03304415941238403,0.03416772186756134,0.9339307546615601,0.9117782711982727,86,6.832993757724762,True
6,136.32794698079428,0.05597065016627312,0.05663033574819565,0.9545742273330688,0.9572800993919373,101,7.252206718921661,True
9,136.56505330403647,0.1053006649017334,0.10580343753099442,0.9340157508850098,0.9133824110031128,44,6.005891823768616,True
1,144.34432474772134,0.08116944134235382,0.08178288489580154,0.9508437514305115,0.9503073692321777,50,5.7685803731282554,True
18,146.25162251790366,0.006292789708822966,0.007777372375130653,0.9532080292701721,0.9540651440620422,139,8.233016514778138,True
