Seed,Val Loss,Test MAE,Test RMSE,Test IC,Test RIC,Best Epoch,Training Time (min),Converged
14,103.16712443033855,0.014431709423661232,0.01739930734038353,0.9573227167129517,0.9580621123313904,393,15.73694836695989,True
17,104.80889129638672,0.014549525454640388,0.018854301422834396,0.966516375541687,0.9708815217018127,673,21.481849590937298,True
12,105.24649810791016,0.026346692815423012,0.032536204904317856,0.8730486035346985,0.8928537964820862,291,12.42910767396291,True
6,106.85670979817708,0.008731218986213207,0.011079748161137104,0.970242977142334,0.9694977402687073,626,29.50011568069458,True
11,108.939208984375,0.009891202673316002,0.01237326581031084,0.9627959728240967,0.9686344265937805,476,16.417983702818553,True
7,108.97082265218098,0.01191687025129795,0.014230634085834026,0.9658230543136597,0.9665200114250183,550,19.47532896200816,True
20,109.24858856201172,0.015063361264765263,0.0178390983492136,0.9569534659385681,0.9604125618934631,316,12.597733306884766,True
1,111.05511728922527,0.011365981772542,0.013915232382714748,0.9693583250045776,0.9652665257453918,608,19.30714100599289,True
19,111.08982849121094,0.006705527659505606,0.00901038944721222,0.9728826284408569,0.9720489382743835,820,25.03109574317932,True
8,111.17656707763672,0.015255670994520187,0.018667954951524734,0.9683935642242432,0.9677736759185791,553,18.43713605006536,True
5,111.81402842203777,0.013325288891792297,0.0165689866989851,0.9740332365036011,0.9714831113815308,517,27.15938876072566,True
13,112.11471811930339,0.009203935973346233,0.011754276230931282,0.9673314094543457,0.9639073610305786,402,15.564369734128316,True
3,113.8203353881836,0.011237201280891895,0.014310728758573532,0.9761449694633484,0.9758942723274231,1292,56.17132182518641,True
16,114.53463745117188,0.009032422676682472,0.011067580431699753,0.9628363251686096,0.9626954197883606,761,23.732398442427318,True
18,115.32234700520833,0.024401037022471428,0.02942735143005848,0.9528776407241821,0.966303288936615,622,20.35562471151352,True
15,116.18939717610677,0.025222530588507652,0.027866514399647713,0.9657326340675354,0.966855525970459,959,28.26258153518041,True
4,116.25328826904297,0.019209301099181175,0.022095266729593277,0.9632914066314697,0.9610055088996887,337,20.31397962172826,True
10,119.87319691975911,0.019195478409528732,0.023756694048643112,0.9628601670265198,0.9646288156509399,343,13.229968937238057,True
2,121.1420160929362,0.017435820773243904,0.022428959608078003,0.9526781439781189,0.9600809812545776,370,18.761420508225758,True
9,125.57742055257161,0.017896810546517372,0.022315815091133118,0.9536387324333191,0.9533154368400574,127,8.04326338370641,True
